Protein1,Protein2,Level
TUBB4A,TUBAL3,Level_02
TUBB4A,TUBA1A,Level_02
TUBB4A,TUBA4A,Level_02
TUBB4A,TUBA8,Level_02
TUBB4A,GJA1,Level_02
TUBB4A,MTOR,Level_02
TUBB4A,TUBA3E,Level_02
TUBB4A,TUBA1B,Level_02
TUBB4A,TUBA1C,Level_02
TUBB4A,TUBA3D,Level_02
FCER2,CR2,Level_02
DGUOK,GUK1,Level_02
DGUOK,NT5M,Level_02
DGUOK,POLG,Level_02
DGUOK,PNP,Level_02
DGUOK,SUCLA2,Level_02
DGUOK,NT5C1A,Level_02
DGUOK,NT5C3A,Level_02
DGUOK,NT5C2,Level_02
DGUOK,MPV17,Level_02
DGUOK,NT5C,Level_02
DGUOK,RRM2B,Level_02
ATF2,MAPK14,Level_02
ATF2,MAPK12,Level_02
ATF2,CREB3,Level_02
ATF2,ATF1,Level_02
ATF2,CREM,Level_02
ATF2,CAMK4,Level_02
ATF2,EP300,Level_02
ATF2,ATF6B,Level_02
ATF2,RPS6KA5,Level_02
ATF2,CREB1,Level_02
ATF2,FOS,Level_02
ATF2,MAPK9,Level_02
ATF2,MAPK13,Level_02
ATF2,IRF3,Level_02
ATF2,CREB5,Level_02
ATF2,ATF4,Level_02
ATF2,MAPK1,Level_02
ATF2,MAPK8,Level_02
ATF2,MAPK11,Level_02
ATF2,CREBBP,Level_02
LAMC2,LAMA3,Level_02
LAMC2,COL7A1,Level_02
LAMC2,COL17A1,Level_02
LAMC2,CD44,Level_02
LAMC2,ITGB4,Level_02
LAMC2,LAMA4,Level_02
LAMC2,LAMA5,Level_02
LAMC2,LAMB2,Level_02
CCNT2,ELL2,Level_02
CCNT2,NELFE,Level_02
CCNT2,EAF1,Level_02
CCNT2,TCEA2,Level_02
CCNT2,GTF2H4,Level_02
CCNT2,CTR9,Level_02
CCNT2,RTF1,Level_02
CCNT2,AFF1,Level_02
CCNT2,CCNH,Level_02
CCNT2,CDC73,Level_02
CCNT2,CDK12,Level_02
CCNT2,BRD4,Level_02
CCNT2,CDK7,Level_02
CCNT2,ERCC3,Level_02
CCNT2,SUPT5H,Level_02
CCNT2,CCNT1,Level_02
CCNT2,LEO1,Level_02
CCNT2,PAF1,Level_02
CCNT2,MLLT3,Level_02
CCNT2,ELL3,Level_02
CCNT2,SUPT4H1,Level_02
CCNT2,ELL,Level_02
CCNT2,LARP7,Level_02
CCNT2,GTF2H2,Level_02
CCNT2,MLLT1,Level_02
CCNT2,NELFB,Level_02
CCNT2,HEXIM1,Level_02
CCNT2,CDK13,Level_02
CCNT2,MNAT1,Level_02
DARS1,AIMP1,Level_02
DARS1,RARS1,Level_02
DARS1,IARS1,Level_02
DARS1,QRSL1,Level_02
DARS1,KARS1,Level_02
DARS1,DARS2,Level_02
DARS1,GATB,Level_02
DARS1,LARS1,Level_02
NID1,CD44,Level_02
NID1,FN1,Level_02
NID1,VTN,Level_02
NID1,NID2,Level_02
NID1,NCR2,Level_02
NID1,AGRN,Level_02
NID1,LAMC1,Level_02
MUL1,UBE2D2,Level_02
MUL1,NR6A1,Level_02
NMU,GNG2,Level_02
NOA1,MRPS9,Level_02
NOA1,ERAL1,Level_02
NOA1,MRPS27,Level_02
NOA1,DAP3,Level_02
NOA1,MRPS7,Level_02
NOA1,MRPS15,Level_02
NOA1,MRPS18B,Level_02
NOA1,TFB1M,Level_02
NOA1,MRPS34,Level_02
CD80,TNFRSF9,Level_02
CD80,ICAM1,Level_02
CD80,CD4,Level_02
CD80,PDCD1,Level_02
CD80,CD40LG,Level_02
CD80,CD27,Level_02
CD80,CD8A,Level_02
CD80,IFNG,Level_02
CD80,B2M,Level_02
CD80,IL10,Level_02
CD80,CD276,Level_02
CD80,PDCD1LG2,Level_02
CD80,ICOS,Level_02
CD80,LAG3,Level_02
CD80,HAVCR2,Level_02
CD80,SLC44A4,Level_02
CD80,TNFRSF4,Level_02
CD80,CD58,Level_02
TXNDC9,INSR,Level_02
IL1RL2,IL36A,Level_02
IL1RL2,IL36B,Level_02
IL1RL2,IL36G,Level_02
IL1RL2,IL1R1,Level_02
IL1RL2,IL1RAP,Level_02
IL18RAP,IL37,Level_02
GFM1,MRPL16,Level_02
GFM1,RPS3A,Level_02
GFM1,MRPL24,Level_02
GFM1,MRPS2,Level_02
GFM1,RPS3,Level_02
GFM1,FAU,Level_02
GFM1,MRPL15,Level_02
GFM1,MRPL22,Level_02
GFM1,MRPS5,Level_02
GFM1,MRPL1,Level_02
GFM1,MRPL20,Level_02
GFM1,MRRF,Level_02
GFM1,MRPS14,Level_02
GFM1,MRPS7,Level_02
GFM1,MRPS15,Level_02
GFM1,TSFM,Level_02
GFM1,MRPL9,Level_02
GFM1,MRPL27,Level_02
GFM1,MRPS10,Level_02
GFM1,MRPL19,Level_02
GFM1,RPS11,Level_02
GFM1,MRPL17,Level_02
GFM1,RPS15,Level_02
GFM1,RPS2,Level_02
GFM1,MRPS6,Level_02
GFM1,MRPL12,Level_02
GFM1,MRPL21,Level_02
GFM1,MRPS9,Level_02
GFM1,RPL23A,Level_02
GFM1,MRPS22,Level_02
GFM1,MRPL33,Level_02
GFM1,RPS28,Level_02
GFM1,RPL30,Level_02
GFM1,MRPL36,Level_02
GFM1,RPL19,Level_02
GFM1,RPL5,Level_02
GFM1,RPS18,Level_02
GFM1,MRPL3,Level_02
GFM1,RPL23,Level_02
GFM1,RPS19,Level_02
GFM1,MRPS16,Level_02
GFM1,RPL35,Level_02
GFM1,MRPL32,Level_02
GFM1,MRPL2,Level_02
GFM1,MRPL13,Level_02
GFM1,MRPL4,Level_02
GFM1,MRPS11,Level_02
GFM1,TUFM,Level_02
GFM1,RPL11,Level_02
GFM1,MRPS12,Level_02
GFM1,MRPL11,Level_02
GFM1,MRPS30,Level_02
ALS2,RAB5A,Level_02
ALS2,NEK1,Level_02
NOP58,NUFIP1,Level_02
NOP58,RPP30,Level_02
NOP58,NIFK,Level_02
NOP58,NOLC1,Level_02
NOP58,RPS8,Level_02
NOP58,RRP12,Level_02
NOP58,DIMT1,Level_02
NOP58,RPS6,Level_02
NOP58,RPL30,Level_02
NOP58,RPS17,Level_02
NOP58,MTREX,Level_02
NOP58,EBNA1BP2,Level_02
NOP58,RPL4,Level_02
NOP58,PES1,Level_02
NOP58,PNO1,Level_02
NOP58,RPS4X,Level_02
NOP58,RPS7,Level_02
NOP58,UTP6,Level_02
NOP58,NIP7,Level_02
NOP58,RPS5,Level_02
NOP58,PUM3,Level_02
NOP58,DCAF13,Level_02
NOP58,RPS28,Level_02
NOP58,PA2G4,Level_02
NOP58,UTP14C,Level_02
NOP58,RPS19,Level_02
NOP58,GAR1,Level_02
NOP58,DHX15,Level_02
NOP58,KCTD19,Level_02
NOP58,RPP38,Level_02
NOP58,RPS16,Level_02
NOP58,RPS12,Level_02
NOP58,RPL5,Level_02
NOP58,BOP1,Level_02
NOP58,RPS18,Level_02
NOP58,DDX18,Level_02
NOP58,RSL1D1,Level_02
NOP58,BYSL,Level_02
NOP58,ZNHIT3,Level_02
NOP58,NGDN,Level_02
NOP58,FBLL1,Level_02
NOP58,RBM28,Level_02
NOP58,WDR46,Level_02
NOP58,RPS24,Level_02
NOP58,RUVBL2,Level_02
NOP58,NOL11,Level_02
NOP58,IMP3,Level_02
NOP58,NOC4L,Level_02
NOP58,MRTO4,Level_02
NOP58,UTP14A,Level_02
NOP58,PDCD11,Level_02
NOP58,DNTTIP2,Level_02
NOP58,RPS27A,Level_02
NOP58,RPS3A,Level_02
NOP58,RPS13,Level_02
NOP58,UTP11,Level_02
NOP58,CEBPZ,Level_02
NOP58,TRUB1,Level_02
NOP58,NOP10,Level_02
NOP58,PWP2,Level_02
NOP58,RPS14,Level_02
NOP58,WDR12,Level_02
NOP58,RPS15A,Level_02
NOP58,FTSJ3,Level_02
NOP58,RCL1,Level_02
NOP58,RRP7A,Level_02
NOP58,GTPBP4,Level_02
NOP58,RPS9,Level_02
NOP58,NAF1,Level_02
NOP58,BRIX1,Level_02
NOP58,ZNHIT6,Level_02
NOP58,RPS23,Level_02
NOP58,FCF1,Level_02
NOP58,NOP14,Level_02
NOP58,WDR18,Level_02
NOP58,UTP18,Level_02
NOP58,NOP2,Level_02
NOP58,AATF,Level_02
NOP58,IMP4,Level_02
NOP58,DDX10,Level_02
NOP58,RPP25,Level_02
NOP58,SNRNP40,Level_02
NOP58,DHX37,Level_02
NOP58,RPF2,Level_02
NOP58,EXOSC10,Level_02
NOP58,GNL3,Level_02
NOP58,PIH1D1,Level_02
NOP58,LOC102724159,Level_02
NOP58,RUVBL1,Level_02
NOP58,RPS11,Level_02
NOP58,NOC2L,Level_02
NOP58,DDX56,Level_02
NOP58,RPS27,Level_02
NOP58,C12orf45,Level_02
TXK,PIK3CD,Level_02
TXK,VAV2,Level_02
TXK,PIK3CB,Level_02
TXK,ITK,Level_02
TXK,PIK3R1,Level_02
TXK,VAV3,Level_02
TXK,VAV1,Level_02
TOP2B,TOP2A,Level_02
TOP2B,TOP1MT,Level_02
TOP2B,TOPBP1,Level_02
TOP2B,TOP1,Level_02
YWHAE,YWHAG,Level_02
YWHAE,DISC1,Level_02
YWHAE,MLF1,Level_02
YWHAE,YWHAZ,Level_02
YWHAE,YWHAQ,Level_02
YWHAE,PAFAH1B1,Level_02
YWHAE,RAF1,Level_02
YWHAE,YAP1,Level_02
YWHAE,YWHAB,Level_02
YWHAE,NDEL1,Level_02
YWHAE,CDC25B,Level_02
YWHAE,BEX3,Level_02
YWHAE,WWTR1,Level_02
YWHAE,FOXO3,Level_02
YWHAE,MEFV,Level_02
YWHAE,YWHAH,Level_02
YWHAE,BAD,Level_02
YWHAE,BRAF,Level_02
YWHAE,CTNNA2,Level_02
YWHAE,ARAF,Level_02
HERC5,UBA7,Level_02
HERC5,MX2,Level_02
HERC5,ISG15,Level_02
HERC5,USP18,Level_02
HERC5,MX1,Level_02
HERC5,IFIT2,Level_02
HERC5,IFIT3,Level_02
HERC5,DDX58,Level_02
HERC5,UBE2L6,Level_02
HERC5,EIF2AK2,Level_02
HERC5,OASL,Level_02
HERC5,IFIH1,Level_02
HERC5,RSAD2,Level_02
HERC5,IFIT1,Level_02
PIKFYVE,MTMR1,Level_02
PIKFYVE,PIK3R1,Level_02
PIKFYVE,GSN,Level_02
PIKFYVE,PI4K2B,Level_02
PIKFYVE,MTMR14,Level_02
PIKFYVE,CDIPT,Level_02
PIKFYVE,PIP4P1,Level_02
PIKFYVE,MTMR4,Level_02
PIKFYVE,PI4K2A,Level_02
PIKFYVE,PIP4K2C,Level_02
PIKFYVE,MTMR8,Level_02
PIKFYVE,MTMR7,Level_02
PIKFYVE,INPP5F,Level_02
PIKFYVE,PIK3C2G,Level_02
PIKFYVE,MTMR6,Level_02
PIKFYVE,PIP4K2A,Level_02
PIKFYVE,PIK3C3,Level_02
PIKFYVE,PTEN,Level_02
PIKFYVE,MTM1,Level_02
PIKFYVE,PLCB1,Level_02
PIKFYVE,MTMR3,Level_02
PIKFYVE,INPP4B,Level_02
PIKFYVE,PIP4K2B,Level_02
PIKFYVE,PI4KA,Level_02
PIKFYVE,PI4KB,Level_02
PIKFYVE,PIK3C2B,Level_02
PIKFYVE,PIK3C2A,Level_02
PIKFYVE,VCL,Level_02
PIKFYVE,PIP4P2,Level_02
PIKFYVE,INPP4A,Level_02
PIKFYVE,MTMR2,Level_02
PIKFYVE,PLCD1,Level_02
PIKFYVE,ROCK1,Level_02
PIKFYVE,SCIN,Level_02
BCHE,COLQ,Level_02
SI,GAA,Level_02
SI,HK1,Level_02
SI,AMY2A,Level_02
SI,MGAM2,Level_02
SI,HK2,Level_02
SI,AMY1B,Level_02
SI,AMY2B,Level_02
SI,HK3,Level_02
SI,GLA,Level_02
SI,HKDC1,Level_02
SI,GANC,Level_02
PRKG2,RASGEF1B,Level_02
PRKG2,MRVI1,Level_02
PRKG2,GTF2I,Level_02
PRKG2,KCNMB3,Level_02
PRKG2,GUCY1A1,Level_02
PRKG2,KCNMA1,Level_02
PRKG2,VASP,Level_02
PRKG2,CACNA1C,Level_02
PRKG2,GUCY1B1,Level_02
PRKG2,GUCY1A2,Level_02
PRKG2,KCNU1,Level_02
GPAT3,GPD1L,Level_02
GPAT3,GPAM,Level_02
GPAT3,GK2,Level_02
GPAT3,GK,Level_02
GPAT3,GPAT2,Level_02
GPAT3,GPD2,Level_02
GPAT3,GPD1,Level_02
CUL3,KCTD11,Level_02
CUL3,GLI3,Level_02
CUL3,COPS5,Level_02
CUL3,KLHL25,Level_02
CUL3,ZBTB16,Level_02
CUL3,CUL4B,Level_02
CUL3,KCTD5,Level_02
CUL3,KLHL21,Level_02
CUL3,RHOBTB1,Level_02
CUL3,CUL5,Level_02
CUL3,TNFAIP1,Level_02
CUL3,KLHL15,Level_02
CUL3,UBXN7,Level_02
CUL3,DCUN1D1,Level_02
CUL3,KCTD6,Level_02
CUL3,RHOBTB3,Level_02
CUL3,KBTBD8,Level_02
CUL3,CUL1,Level_02
CUL3,KCTD2,Level_02
CUL3,KLHL11,Level_02
CUL3,AURKB,Level_02
CUL3,NFE2L2,Level_02
CUL3,ARIH1,Level_02
CUL3,ENC1,Level_02
CUL3,PEF1,Level_02
CUL3,SKP1,Level_02
CUL3,SUFU,Level_02
CUL3,KLHL24,Level_02
CUL3,KLHL41,Level_02
CUL3,COPS2,Level_02
CUL3,KCTD17,Level_02
CUL3,KCTD10,Level_02
CUL3,CUL7,Level_02
CUL3,CAND1,Level_02
CUL3,KLHL42,Level_02
CUL3,CUL4A,Level_02
CUL3,ZSWIM8,Level_02
CUL3,BTBD1,Level_02
CUL3,GLI1,Level_02
CUL3,KLHL2,Level_02
CUL3,GAN,Level_02
CUL3,KCTD13,Level_02
CUL3,KLHL8,Level_02
CUL3,LZTR1,Level_02
CUL3,GPS1,Level_02
CUL3,NEDD8,Level_02
CUL3,DCUN1D2,Level_02
CUL3,KLHL22,Level_02
CUL3,UBE2M,Level_02
CUL3,BTRC,Level_02
CUL3,CUL2,Level_02
CUL3,KLHL7,Level_02
CUL3,KBTBD6,Level_02
CUL3,RHOBTB2,Level_02
CUL3,RNF7,Level_02
CUL3,KBTBD7,Level_02
CUL3,GLI2,Level_02
RAPGEF2,RRAS2,Level_02
RAPGEF2,NRAS,Level_02
RAPGEF2,RRAS,Level_02
RAPGEF2,RAP2C,Level_02
RAPGEF2,RAPGEF6,Level_02
RAPGEF2,TJP1,Level_02
RAPGEF2,KRAS,Level_02
RAPGEF2,RAP1B,Level_02
RAPGEF2,MRAS,Level_02
RAPGEF2,HRAS,Level_02
RAPGEF2,RAP1A,Level_02
RAPGEF2,TJP2,Level_02
RAPGEF2,MAGI3,Level_02
RAPGEF2,MAGI1,Level_02
RAPGEF2,MAGI2,Level_02
ADD2,TMOD4,Level_02
ADD2,ANK2,Level_02
ADD2,DMTN,Level_02
ADD2,ADD1,Level_02
ADD2,TMOD1,Level_02
ADD2,ANK1,Level_02
ADD2,ANK3,Level_02
ADD2,EPB41,Level_02
ADD2,TMOD2,Level_02
ADD2,TMOD3,Level_02
CSTA,CTSS,Level_02
CSTA,CTSV,Level_02
CSTA,CTSH,Level_02
CSTA,CTSL,Level_02
CSTA,SLC12A8,Level_02
CSTA,CTSB,Level_02
FGF2,FLT1,Level_02
FGF2,AKT1,Level_02
FGF2,EGFR,Level_02
FGF2,CCL11,Level_02
FGF2,MMP9,Level_02
FGF2,API5,Level_02
FGF2,PDGFB,Level_02
FGF2,HGF,Level_02
FGF2,SDC1,Level_02
FGF2,FGF17,Level_02
FGF2,NRP1,Level_02
FGF2,BMP2,Level_02
FGF2,CXCL1,Level_02
FGF2,CSF3,Level_02
FGF2,SOX2,Level_02
FGF2,CSF2,Level_02
FGF2,NTRK1,Level_02
FGF2,FLT4,Level_02
FGF2,FLT3LG,Level_02
FGF2,PDGFRA,Level_02
FGF2,FGF1,Level_02
FGF2,NANOG,Level_02
FGF2,PTX3,Level_02
FGF2,CD44,Level_02
FGF2,S100B,Level_02
FGF2,POU5F1,Level_02
FGF2,HSPG2,Level_02
FGF2,TGFB1,Level_02
FGF2,PDGFRB,Level_02
FGF2,GPC1,Level_02
FGF2,FN1,Level_02
FGF2,CX3CL1,Level_02
FGF2,FGFBP1,Level_02
FGF2,TEK,Level_02
FGF2,KDR,Level_02
FGF2,SDC4,Level_02
FGF2,EGF,Level_02
RBBP5,TAF7,Level_02
RBBP5,H3C12,Level_02
RBBP5,H3C13,Level_02
RBBP5,MCRS1,Level_02
RBBP5,PHF20,Level_02
RBBP5,KANSL1,Level_02
RBBP5,KMT2B,Level_02
RBBP5,H2BC11,Level_02
RBBP5,H2AC6,Level_02
RBBP5,H4C5,Level_02
RBBP5,TAF6,Level_02
RBBP5,BOD1L1,Level_02
RBBP5,H3-4,Level_02
RBBP5,H3-3B,Level_02
RBBP5,H4C11,Level_02
RBBP5,TAF9,Level_02
RBBP5,H4C8,Level_02
RBBP5,H2BC12,Level_02
RBBP5,WDR33,Level_02
RBBP5,TEX10,Level_02
RBBP5,H4C9,Level_02
RBBP5,H4C6,Level_02
RBBP5,UBB,Level_02
RBBP5,H4C2,Level_02
RBBP5,H2AC8,Level_02
RBBP5,UBA52,Level_02
RBBP5,RNF2,Level_02
RBBP5,PAGR1,Level_02
RBBP5,H4-16,Level_02
RBBP5,CHD8,Level_02
RBBP5,KAT8,Level_02
RBBP5,E2F6,Level_02
RBBP5,UBC,Level_02
RBBP5,H4C14,Level_02
RBBP5,KDM6B,Level_02
RBBP5,H4C3,Level_02
RBBP5,SENP3,Level_02
RBBP5,H4C15,Level_02
RBBP5,CTNNB1,Level_02
RBBP5,H4C4,Level_02
RBBP5,HCFC2,Level_02
RBBP5,SDC1,Level_02
RBBP5,MEN1,Level_02
RBBP5,WDR5B,Level_02
RBBP5,NCOA6,Level_02
RBBP5,C17orf49,Level_02
RBBP5,H4C13,Level_02
RBBP5,H4C12,Level_02
RBBP5,H3C15,Level_02
RBBP5,RPS27A,Level_02
RBBP5,TAF1,Level_02
RBBP5,KMT2D,Level_02
RBBP5,H4C1,Level_02
RBBP5,H3C14,Level_02
IFT57,TTC21B,Level_02
IFT57,TTC30B,Level_02
IFT57,IFT22,Level_02
IFT57,IFT27,Level_02
IFT57,CASP8,Level_02
IFT57,HIP1,Level_02
IFT57,IFT74,Level_02
IFT57,TTC26,Level_02
IFT57,HSPB11,Level_02
IFT57,TTC30A,Level_02
SHC2,PDGFRB,Level_02
SHC2,NTRK2,Level_02
SHC2,SRC,Level_02
SHC2,KDR,Level_02
SHC2,PTK2,Level_02
SHC2,FGFR3,Level_02
SHC2,MET,Level_02
SHC2,SOS1,Level_02
SHC2,FGFR1,Level_02
SHC2,SOS2,Level_02
SHC2,ERBB3,Level_02
SHC2,GRB2,Level_02
SHC2,IGF1R,Level_02
SHC2,NTRK1,Level_02
SHC2,PDGFRA,Level_02
SHC2,ERBB2,Level_02
SHC2,KIT,Level_02
SHC2,EGFR,Level_02
SHC2,ERBB4,Level_02
IL11,OSMR,Level_02
IL11,LIF,Level_02
IL11,IL6ST,Level_02
IL11,LIFR,Level_02
IL11,CNTF,Level_02
IL11,CNTFR,Level_02
IL11,IL6R,Level_02
IL11,OSM,Level_02
IL11,IL6,Level_02
HDAC4,CCND1,Level_02
HDAC4,YY1,Level_02
HDAC4,BCL6,Level_02
HDAC4,ANKRA2,Level_02
HDAC4,RUNX2,Level_02
HDAC4,ZBTB16,Level_02
HDAC4,MEF2A,Level_02
HDAC4,SIN3A,Level_02
HDAC4,HDAC3,Level_02
HDAC4,UBE2I,Level_02
HDAC4,CAMK4,Level_02
HDAC4,MEF2D,Level_02
HDAC4,HSP90AB1,Level_02
HDAC4,NUP155,Level_02
HDAC4,MEF2C,Level_02
HDAC4,YWHAG,Level_02
HDAC4,HSP90AA1,Level_02
HDAC4,HDAC5,Level_02
HDAC4,SMAD3,Level_02
HDAC4,HIF1A,Level_02
HDAC4,RFXANK,Level_02
CP,ATP7A,Level_02
CP,MPO,Level_02
CP,SLC40A1,Level_02
CP,ATP7B,Level_02
CP,FXN,Level_02
CP,FECH,Level_02
CP,ALB,Level_02
CP,SERPINA1,Level_02
CP,LTF,Level_02
CP,HMOX2,Level_02
CP,HMOX1,Level_02
CP,HP,Level_02
CP,ORM1,Level_02
WNT5A,WNT5B,Level_02
WNT5A,LRP5,Level_02
WNT5A,FZD9,Level_02
WNT5A,VANGL2,Level_02
WNT5A,SFRP1,Level_02
WNT5A,FZD6,Level_02
WNT5A,ROR2,Level_02
WNT5A,RORA,Level_02
WNT5A,DVL2,Level_02
WNT5A,NOTUM,Level_02
WNT5A,WIF1,Level_02
WNT5A,FZD1,Level_02
WNT5A,GPC3,Level_02
WNT5A,WLS,Level_02
WNT5A,DKK1,Level_02
WNT5A,FZD7,Level_02
WNT5A,LRP6,Level_02
WNT5A,FZD8,Level_02
WNT5A,PTK7,Level_02
WNT5A,CER1,Level_02
WNT5A,DVL1,Level_02
WNT5A,ROR1,Level_02
WNT5A,SFRP5,Level_02
WNT5A,PORCN,Level_02
THRA,PIK3R2,Level_02
THRA,PIK3R1,Level_02
THRA,NCOR1,Level_02
THRA,THRB,Level_02
THRA,NCOA1,Level_02
THRA,ACTB,Level_02
THRA,MED1,Level_02
THRA,RXRA,Level_02
PSMD3,PSMB6,Level_02
PSMD3,UBQLN4,Level_02
PSMD3,PSMA1,Level_02
PSMD3,UCHL5,Level_02
PSMD3,PSMB4,Level_02
PSMD3,PSMB5,Level_02
PSMD3,PSMA7,Level_02
PSMD3,UBB,Level_02
PSMD3,PSMD9,Level_02
PSMD3,UBA52,Level_02
PSMD3,PSMA3,Level_02
PSMD3,UBC,Level_02
PSMD3,PSMB2,Level_02
PSMD3,PSMB9,Level_02
PSMD3,PSMD10,Level_02
PSMD3,PAAF1,Level_02
PSMD3,PSMA4,Level_02
PSMD3,RPS27A,Level_02
PSMD3,PSMA6,Level_02
PSMD3,PSMA8,Level_02
ATP6V0A1,ATP6AP2,Level_02
ATP6V0A1,TMEM199,Level_02
ATP6V0A1,ATP6V0A4,Level_02
ATP6V0A1,ATP6V1E2,Level_02
ATP6V0A1,ATP6V0E2,Level_02
ATP6V0A1,ATP6V1G3,Level_02
ATP6V0A1,ATP6V1B2,Level_02
ATP6V0A1,TCIRG1,Level_02
ATP6V0A1,ATP6V1C2,Level_02
ATP6V0A1,RNASEK,Level_02
ATP6V0A1,ATP6V1G1,Level_02
ATP6V0A1,ATP6V1G2,Level_02
ATP6V0A1,ATP6V0E1,Level_02
ATP6V0A1,ATP6V0A2,Level_02
ATP6V0A1,LIM2,Level_02
STAT3,LCK,Level_02
STAT3,TYK2,Level_02
STAT3,IL21R,Level_02
STAT3,STAT4,Level_02
STAT3,EGFR,Level_02
STAT3,PTPN11,Level_02
STAT3,AKT1,Level_02
STAT3,AMOTL1,Level_02
STAT3,IL10,Level_02
STAT3,CD274,Level_02
STAT3,MTOR,Level_02
STAT3,FOS,Level_02
STAT3,CSF3,Level_02
STAT3,BMX,Level_02
STAT3,CCND1,Level_02
STAT3,PIAS1,Level_02
STAT3,STMN1,Level_02
STAT3,PRDM1,Level_02
STAT3,IL6ST,Level_02
STAT3,LIF,Level_02
STAT3,FOXO3,Level_02
STAT3,STAT5B,Level_02
STAT3,IL10RB,Level_02
STAT3,LEP,Level_02
STAT3,CREBBP,Level_02
STAT3,IL10RA,Level_02
STAT3,IL22,Level_02
STAT3,FLT3,Level_02
STAT3,SP1,Level_02
STAT3,PIK3R1,Level_02
STAT3,SOCS1,Level_02
STAT3,JAK3,Level_02
STAT3,MAPK1,Level_02
STAT3,IL23R,Level_02
STAT3,IL2RG,Level_02
STAT3,KIT,Level_02
STAT3,LYN,Level_02
STAT3,PDGFRA,Level_02
STAT3,MMP2,Level_02
STAT3,STAT2,Level_02
STAT3,PTGS2,Level_02
STAT3,ERBB2,Level_02
STAT3,PTPN2,Level_02
STAT3,IL1B,Level_02
STAT3,TNF,Level_02
STAT3,BCL2L1,Level_02
STAT3,CDKN1A,Level_02
STAT3,LEPR,Level_02
STAT3,NANOG,Level_02
STAT3,STAP2,Level_02
STAT3,SIN3A,Level_02
STAT3,CISH,Level_02
STAT3,SYK,Level_02
STAT3,ESR1,Level_02
STAT3,MET,Level_02
STAT3,POU5F1,Level_02
STAT3,NDUFA13,Level_02
STAT3,LIFR,Level_02
STAT3,IRF9,Level_02
STAT3,IGF1R,Level_02
STAT3,NFKB1,Level_02
STAT3,BCL2,Level_02
STAT3,MYC,Level_02
STAT3,STAT5A,Level_02
STAT3,CEBPB,Level_02
STAT3,FOXP3,Level_02
STAT3,SOCS3,Level_02
STAT3,HIF1A,Level_02
STAT3,IRF4,Level_02
STAT3,FN1,Level_02
STAT3,HSP90AA1,Level_02
STAT3,HDAC1,Level_02
STAT3,FOXO4,Level_02
STAT3,IL22RA1,Level_02
STAT3,FOXO1,Level_02
STAT3,PDGFRB,Level_02
STAT3,CREB1,Level_02
STAT3,DNMT1,Level_02
STAT3,PTK2,Level_02
STAT3,IL4,Level_02
STAT3,IL6,Level_02
STAT3,IL12RB1,Level_02
STAT3,NR3C1,Level_02
STAT3,RELA,Level_02
STAT3,IL17A,Level_02
STAT3,TP53,Level_02
STAT3,EZH2,Level_02
STAT3,JUN,Level_02
STAT3,IL6R,Level_02
FGF10,HSPG2,Level_02
FGF10,KL,Level_02
FGF10,FGFR4,Level_02
FGF10,CD44,Level_02
FGF10,SHH,Level_02
FGF10,KDR,Level_02
FGF10,EGF,Level_02
FGF10,FGFR3,Level_02
FGF10,FGFBP1,Level_02
FGF10,EGFR,Level_02
FGF10,DCN,Level_02
MECOM,CTBP1,Level_02
MECOM,HDAC2,Level_02
MECOM,CTBP2,Level_02
MECOM,HDAC1,Level_02
MECOM,RUNX1,Level_02
KLKB1,F12,Level_02
KLKB1,ACPP,Level_02
KLKB1,SERPING1,Level_02
KLKB1,PLG,Level_02
KLKB1,A2M,Level_02
CAD,ASNS,Level_02
CAD,GLUL,Level_02
CAD,ADSS2,Level_02
CAD,GLS2,Level_02
CAD,UMPS,Level_02
CAD,DHODH,Level_02
CAD,OTC,Level_02
CAD,GFPT1,Level_02
CAD,GLS,Level_02
CAD,PPAT,Level_02
CAD,ADSS1,Level_02
CAD,GFPT2,Level_02
CAD,ASS1,Level_02
CAD,GOT2,Level_02
CAD,GOT1,Level_02
DNMT3A,AHCYL1,Level_02
DNMT3A,H3-4,Level_02
DNMT3A,HDAC1,Level_02
DNMT3A,H3C6,Level_02
DNMT3A,H3-2,Level_02
DNMT3A,EHMT2,Level_02
DNMT3A,TCL1A,Level_02
DNMT3A,H3-3A,Level_02
DNMT3A,TRDMT1,Level_02
DNMT3A,SPI1,Level_02
DNMT3A,PRMT5,Level_02
DNMT3A,SUV39H1,Level_02
DNMT3A,H3C3,Level_02
DNMT3A,SMARCA4,Level_02
DNMT3A,MYC,Level_02
DNMT3A,MECP2,Level_02
DNMT3A,TDG,Level_02
DNMT3A,H4C6,Level_02
DNMT3A,MAT2A,Level_02
DNMT3A,UHRF1,Level_02
DNMT3A,MBD2,Level_02
DNMT3A,MAT1A,Level_02
DNMT3A,H3-5,Level_02
DNMT3A,H3C1,Level_02
DNMT3A,HDAC2,Level_02
DNMT3A,ASXL1,Level_02
DNMT3A,MAT2B,Level_02
DNMT3A,MPHOSPH8,Level_02
DNMT3A,SETDB1,Level_02
DNMT3A,KMT5B,Level_02
DNMT3A,TRIM28,Level_02
DNMT3A,DNMT3B,Level_02
DNMT3A,TET2,Level_02
DNMT3A,AHCY,Level_02
RAB10,MYO5B,Level_02
RAB10,MYO5A,Level_02
RAB10,RILPL1,Level_02
RAB10,GDI2,Level_02
RAB10,RILPL2,Level_02
