Protein1,Protein2,Level
CD74,RPL6,Level_02
CD74,RPL36,Level_02
CD74,RPL27A,Level_02
CD74,HLA-DQA1,Level_02
CD74,RPS10,Level_02
CD74,HLA-DRB1,Level_02
CD74,RPL7A,Level_02
CD74,RPL23,Level_02
CD74,RPL7L1,Level_02
CD74,RPS19,Level_02
CD74,CXorf66,Level_02
CD74,MRPS16,Level_02
CD74,RACK1,Level_02
CD74,RPL15,Level_02
CD74,RPL35,Level_02
CD74,RPSA,Level_02
CD74,RPS12,Level_02
CD74,RPL19,Level_02
CD74,RPS16,Level_02
CD74,RPL5,Level_02
CD74,RPL34,Level_02
CD74,RPS18,Level_02
CD74,RPL10,Level_02
CD74,CXCR2,Level_02
CD74,RPL12,Level_02
CD74,CTSB,Level_02
CD74,RPLP2,Level_02
CD74,IFI35,Level_02
CD74,RPS9,Level_02
CD74,RPL38,Level_02
CD74,RPL39,Level_02
CD74,RPL13A,Level_02
CD74,RPL10L,Level_02
CD74,RPL17-C18orf32,Level_02
CD74,APP,Level_02
CD74,RPS23,Level_02
CD74,RSRC1,Level_02
CD74,MRPL20,Level_02
CD74,HLA-DMB,Level_02
CD74,FAU,Level_02
CD74,PDCD11,Level_02
CD74,RPL29,Level_02
CD74,RPL27,Level_02
CD74,RPLP0,Level_02
CD74,RPL32,Level_02
CD74,EIF1AY,Level_02
CD74,RPS27A,Level_02
CD74,HLA-DOB,Level_02
CD74,RPS3A,Level_02
CD74,HLA-DRB5,Level_02
CD74,CTSL,Level_02
CD74,RPS13,Level_02
CD74,RPS3,Level_02
CD74,RPL3L,Level_02
CD74,HLA-DPA1,Level_02
CD74,RPS11,Level_02
CD74,RPL28,Level_02
CD74,RPS27,Level_02
CD74,MRPL9,Level_02
CD74,RPL3,Level_02
CD74,RPL31,Level_02
CD74,FLT3LG,Level_02
CD74,RPL37,Level_02
CD74,MRPL27,Level_02
CD74,RPL35A,Level_02
CD74,MRPL19,Level_02
CD74,RPS26,Level_02
CD74,RPL18A,Level_02
CD74,EIF1AX,Level_02
CD74,EEF2,Level_02
CD74,RPL21,Level_02
CD74,RPL39L,Level_02
CD74,RPL14,Level_02
CD74,DDT,Level_02
CD74,FANCE,Level_02
CD74,RPS29,Level_02
CD4,HLA-DMB,Level_02
CD4,IL5,Level_02
CD4,PDCD1LG2,Level_02
CD4,SKP1,Level_02
CD4,ENPEP,Level_02
CD4,HLA-DRB5,Level_02
CD4,CD2,Level_02
CD4,HLA-DOB,Level_02
CD4,PRF1,Level_02
CD4,HLA-DPA1,Level_02
CD4,CD19,Level_02
CD4,IL10,Level_02
CD4,CD274,Level_02
CD4,FCGR3A,Level_02
CD4,IFNG,Level_02
CD4,CCR7,Level_02
CD4,CD80,Level_02
CD4,ERVW-1,Level_02
CD4,FYN,Level_02
CD4,CD247,Level_02
CD4,CD38,Level_02
CD4,CD3G,Level_02
CD4,CD40,Level_02
CD4,GZMB,Level_02
CD4,HLA-DRA,Level_02
CD4,IL2RA,Level_02
CD4,CD28,Level_02
CD4,IL7R,Level_02
CD4,BTRC,Level_02
CD4,CD82,Level_02
CD4,FCGR3B,Level_02
CD4,CD8B2,Level_02
CD4,PTPRC,Level_02
CD4,ICOS,Level_02
CD4,ITGAX,Level_02
CD4,HLA-DQA2,Level_02
CD4,CD44,Level_02
CD4,CD40LG,Level_02
CD4,TNF,Level_02
CD4,IL1B,Level_02
CD4,PDCD1,Level_02
CD4,CD3E,Level_02
CD4,CD86,Level_02
CD4,SYK,Level_02
CD4,CTLA4,Level_02
CD4,CD69,Level_02
CD4,CD3D,Level_02
CD4,HLA-DPB1,Level_02
CD4,IL2,Level_02
CD4,CD81,Level_02
CD4,ICAM1,Level_02
CD4,SELL,Level_02
CD4,HLA-DOA,Level_02
CD4,IL13,Level_02
CD4,HLA-DQB1,Level_02
CD4,TRAT1,Level_02
CD4,CD8B,Level_02
CD4,FOXP3,Level_02
CD4,ITGAM,Level_02
CD4,TBX21,Level_02
CD4,PLAT,Level_02
CD4,IL15,Level_02
CD4,FN1,Level_02
CD4,CCL4,Level_02
CD4,CD5,Level_02
CD4,CUL1,Level_02
CD4,ZAP70,Level_02
CD4,IL6,Level_02
CD4,IL4,Level_02
CD4,HLA-DMA,Level_02
CD4,IL16,Level_02
CD4,HLA-DRB1,Level_02
CD4,HLA-DQA1,Level_02
CD4,IL17A,Level_02
CD4,CD27,Level_02
PPP5C,MAP3K5,Level_02
PPP5C,CCT8,Level_02
PPP5C,STIP1,Level_02
PPP5C,CCT4,Level_02
PPP5C,PTGES3,Level_02
PPP5C,BRAF,Level_02
PPP5C,TCP1,Level_02
PPP5C,HSP90AA1,Level_02
PPP5C,CDC37,Level_02
PPP5C,HSP90AB1,Level_02
PPP5C,TSC1,Level_02
INMT,DDC,Level_02
INMT,MAOB,Level_02
INMT,IDO2,Level_02
INMT,MAOA,Level_02
ERCC1,ERCC2,Level_02
ERCC1,RAD52,Level_02
ERCC1,ERCC8,Level_02
ERCC1,PAXX,Level_02
ERCC1,FANCM,Level_02
ERCC1,XRCC4,Level_02
ERCC1,ERCC5,Level_02
ERCC1,XPC,Level_02
ERCC1,LIG4,Level_02
ERCC1,MSH2,Level_02
ERCC1,XRCC5,Level_02
ERCC1,ERCC3,Level_02
ERCC1,XRCC1,Level_02
ERCC1,XRCC6,Level_02
ERCC1,MSH3,Level_02
ERCC1,MSH6,Level_02
ERCC1,FEN1,Level_02
ERCC1,POLD1,Level_02
ERCC1,RAD23B,Level_02
ERCC1,DCLRE1C,Level_02
ERCC1,SLX1A,Level_02
ERCC1,MUS81,Level_02
ERCC1,ATM,Level_02
ERCC1,PRKDC,Level_02
ERCC1,ERCC6,Level_02
ERCC1,NHEJ1,Level_02
ERCC1,PHF21A,Level_02
ERCC1,CETN2,Level_02
ERCC1,BIVM-ERCC5,Level_02
ERCC1,FANCD2,Level_02
ERCC1,EME1,Level_02
ERCC1,BRCA1,Level_02
SNAI2,HDAC1,Level_02
SNAI2,TP53,Level_02
SNAI2,CDH1,Level_02
SNAI2,TWIST1,Level_02
SNAI2,KDM1A,Level_02
AKAP11,PRKACA,Level_02
AKAP11,PRKACB,Level_02
CDH17,CTNND2,Level_02
CDH17,VCL,Level_02
CDH17,PECAM1,Level_02
CDH17,OCLN,Level_02
CDH17,DSP,Level_02
